Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
0.75,0.87,69%,31%,16,4,1,2,0,1,9,1,87%,75%,4,4,,,11,2,4,0,9,2,7,1,0,0,33,7,,,2,1,11,8,,,75%,51%,17%,0%,,,22,16,8,11,48%,58%,,,19,56,5,11,,,,,1,1,,,,,,,,
1.90,0.43,71%,29%,16,3,6,3,3,2,3,4,90%,78%,0,2,,,7,0,3,0,10,2,6,1,1,0,43,7,,,0,1,11,10,,,86%,57%,21%,33%,,,18,11,10,11,59%,55%,,,7,34,3,13,,,,,2,2,,,,,,,1,1
0.76,2.87,52%,48%,12,17,5,9,1,6,3,8,85%,83%,1,0,,,3,4,4,4,7,10,5,7,0,1,15,33,,,2,4,5,10,,,77%,76%,25%,9%,,,15,11,10,5,38%,58%,,,23,19,4,10,,,,,6,4,,,,,,,1,0
0.58,0.99,51%,49%,9,9,4,3,1,1,1,5,83%,83%,2,1,,,4,3,1,3,4,6,5,3,0,0,12,20,,,0,0,10,20,,,74%,76%,23%,17%,,,14,27,20,10,74%,48%,,,31,14,7,8,,,,,2,4,,,,,1,1,,
3.15,0.86,63%,37%,19,9,7,4,4,1,3,6,89%,78%,4,2,,,6,2,6,3,15,6,4,3,0,0,54,18,,,5,2,14,8,,,75%,68%,23%,17%,,,19,17,8,14,89%,55%,,,19,33,6,11,,,,,3,4,,,,,,,1,0
0.65,2.84,32%,68%,8,17,4,9,1,5,4,7,87%,92%,0,1,,,1,3,3,5,5,14,3,3,0,0,14,40,,,1,1,7,4,,,80%,84%,25%,0%,,,8,11,4,7,69%,57%,,,21,12,8,7,,,,,3,4,,,,,,,0,1
2.03,1.11,36%,64%,13,11,7,6,5,2,3,8,82%,86%,2,1,,,4,2,2,3,9,7,3,4,1,0,27,23,,,2,1,14,14,,,75%,76%,26%,11%,,,16,25,14,14,75%,74%,,,33,20,9,4,,,,,4,4,,,,,,,,
1.41,1.98,51%,49%,10,6,1,3,1,4,4,2,82%,82%,3,3,,,3,1,6,2,9,4,1,2,0,0,28,26,,,3,3,12,13,,,72%,63%,30%,11%,,,19,19,13,12,61%,52%,,,12,17,10,6,,,,,0,0,,,,,,,,
1.90,0.88,45%,55%,14,10,5,4,4,2,2,8,82%,87%,0,4,,,7,2,2,4,9,8,5,2,0,0,28,23,,,3,0,18,4,,,78%,81%,32%,42%,,,16,12,4,18,63%,90%,,,20,32,9,6,,,,,2,2,,,,,,,1,1
1.55,1.06,65%,35%,18,8,6,4,2,2,10,1,88%,73%,2,3,,,7,3,5,1,11,5,6,3,1,1,35,13,,,3,2,18,10,,,78%,51%,29%,20%,,,12,10,10,18,58%,44%,,,8,41,11,3,,,,,2,4,,,,,,,0,1
0.72,3.40,39%,61%,11,37,6,8,1,4,2,15,80%,88%,2,3,,,4,14,1,15,9,28,2,9,0,1,24,61,,,6,0,14,6,,,58%,84%,11%,31%,,,11,10,6,14,50%,50%,,,36,19,9,4,,,,,6,6,,,,,,,,
0.47,2.08,38%,62%,8,17,4,2,1,4,5,2,76%,86%,3,1,,,3,9,1,6,7,14,1,3,0,1,29,33,,,2,2,8,8,,,61%,81%,24%,46%,,,18,19,8,8,70%,62%,,,19,27,9,7,,,,,0,4,,,,,,,0,1
0.30,1.31,53%,47%,7,12,0,7,0,2,2,4,82%,81%,3,0,,,4,4,3,1,4,6,3,6,0,0,14,17,,,1,0,10,13,,,68%,66%,21%,6%,,,10,20,13,10,50%,53%,,,24,17,12,16,,,,,5,0,,,,,1,0,,
1.04,2.41,55%,45%,13,19,5,10,1,4,7,6,79%,76%,1,6,,,3,6,5,3,7,16,6,3,0,1,33,36,,,1,0,18,7,,,75%,68%,11%,29%,,,29,15,7,18,47%,71%,,,32,35,2,14,,,,,6,4,,,,,,,1,0
3.20,1.52,59%,41%,23,13,9,5,5,1,4,4,84%,80%,1,3,,,2,3,12,5,17,7,6,6,0,0,48,18,,,2,0,10,7,,,78%,64%,23%,25%,,,19,11,7,10,67%,70%,,,22,29,12,7,,,,,4,6,,,,,,,,
0.29,0.97,47%,53%,5,11,3,5,0,0,1,9,82%,85%,2,2,,,2,0,0,6,3,10,2,1,0,0,8,25,,,1,1,14,13,,,64%,65%,29%,35%,,,13,10,13,14,57%,93%,,,25,12,9,8,,,,,3,3,,,,,,,,
1.42,0.83,53%,47%,14,10,4,2,4,1,10,4,84%,84%,3,1,,,4,4,6,4,11,8,3,2,0,1,47,20,,,3,1,9,16,,,76%,73%,25%,24%,,,12,19,16,9,57%,58%,,,13,30,10,5,,,,,1,3,,,,,,,,
1.09,1.36,50%,50%,10,11,3,3,2,3,8,5,81%,83%,2,1,,,6,4,1,4,7,6,3,5,0,0,14,20,,,5,1,10,17,,,61%,60%,20%,0%,,,20,16,17,10,53%,73%,,,24,35,9,9,,,,,2,3,,,,,,,,
1.52,1.81,57%,43%,21,9,4,4,3,4,4,3,85%,78%,,,,,11,3,6,2,13,8,8,1,1,0,28,20,,,1,3,6,7,,,74%,62%,27%,25%,,,22,8,7,6,63%,67%,,,15,24,9,10,,,,,2,4,,,,,,,,
1.93,1.45,60%,40%,18,13,6,7,3,3,4,2,87%,77%,0,2,,,5,4,7,2,11,8,6,5,1,2,32,23,,,3,1,13,10,,,75%,78%,29%,60%,,,15,19,10,13,79%,28%,,,16,12,11,9,,,,,7,3,,,,,,,,
0.39,1.95,29%,71%,6,23,3,7,1,4,0,9,68%,85%,2,1,,,1,10,2,6,2,14,4,9,0,1,17,52,,,2,1,10,7,,,60%,78%,0%,21%,,,21,17,7,10,65%,40%,,,59,28,9,3,,,,,6,2,,,,,,,0,1
2.47,2.10,44%,56%,18,21,6,8,3,5,4,5,81%,87%,,,,,9,11,3,2,16,15,2,6,0,1,41,45,,,4,0,4,4,,,71%,88%,21%,35%,,,14,15,4,4,60%,42%,,,21,30,10,8,,,,,6,4,,,,,,,1,0
2.45,1.23,57%,43%,26,7,10,3,3,1,9,3,83%,79%,2,3,,,7,3,9,1,17,6,9,1,1,1,37,21,,,2,1,16,15,,,73%,63%,35%,9%,,,22,19,15,16,64%,56%,,,8,27,4,8,,,,,1,8,,,,,,,,
1.12,1.70,44%,56%,4,21,3,5,2,3,0,3,83%,85%,3,3,,,1,11,0,5,3,12,1,9,0,2,6,28,,,5,0,18,9,,,51%,76%,0%,25%,,,8,25,9,18,57%,54%,,,28,11,7,11,,,,,3,0,,,,,,,,
1.57,2.20,60%,40%,13,11,6,3,2,4,5,3,85%,80%,1,2,,,2,6,5,2,10,8,3,3,0,0,34,23,,,1,4,8,10,,,73%,65%,28%,20%,,,18,15,10,8,54%,72%,,,25,37,10,10,,,,,0,6,,,,,,,,
2.87,0.99,52%,48%,19,13,6,4,4,3,5,9,84%,75%,2,4,,,8,1,5,8,15,11,4,2,0,0,33,31,,,0,4,13,10,,,78%,65%,18%,24%,,,19,16,10,13,33%,40%,,,28,26,16,13,,,,,2,4,,,,,,,,
1.34,1.47,73%,27%,15,7,4,3,4,1,9,2,88%,75%,1,5,,,4,3,7,1,10,5,5,2,0,2,30,14,,,0,1,14,10,,,82%,59%,12%,29%,,,29,11,10,14,53%,55%,,,13,47,2,15,,,,,1,2,,,,,,,,
1.56,0.84,45%,55%,11,9,4,3,3,5,2,5,87%,88%,2,3,,,4,4,3,2,6,6,5,3,0,1,17,24,,,0,3,14,17,,,70%,78%,20%,20%,,,9,10,17,14,91%,50%,,,22,9,8,5,,,,,2,3,,,,,,,,
1.40,0.36,61%,39%,13,4,5,2,3,2,6,2,89%,85%,0,1,,,3,2,5,0,8,3,5,1,1,0,25,9,,,1,1,11,10,,,77%,61%,18%,10%,,,18,17,10,11,58%,55%,,,15,16,8,10,,,,,1,3,,,,,,,,
1.69,0.67,59%,41%,19,9,8,0,5,1,9,3,77%,67%,2,2,,,7,9,4,0,12,5,7,4,0,0,34,16,,,1,0,14,15,,,70%,61%,19%,8%,,,23,29,15,14,80%,50%,,,33,31,10,14,,,,,0,7,,,,,,,,
1.01,1.30,38%,62%,13,15,6,1,2,1,6,6,76%,86%,0,2,,,2,10,5,4,10,12,3,3,0,0,20,36,,,2,0,12,9,,,54%,73%,26%,23%,,,15,18,9,12,62%,42%,,,21,13,7,7,,,,,0,5,,,,,,,,
2.03,1.19,56%,44%,10,17,7,4,3,3,7,1,90%,86%,2,1,,,0,10,3,3,7,14,3,3,0,0,28,23,,,1,2,13,8,,,82%,75%,8%,58%,,,13,16,8,13,64%,69%,,,18,17,6,6,,,,,3,3,,,,,,,1,0
0.29,4.23,50%,50%,8,20,1,11,0,11,2,2,85%,86%,2,0,,,5,7,2,2,3,17,5,3,0,1,18,33,,,1,2,4,10,,,84%,79%,8%,20%,,,7,10,10,4,53%,53%,,,21,15,3,6,,,,,6,1,,,,,,,,
0.85,1.08,57%,43%,13,14,4,4,1,4,9,10,81%,79%,1,4,,,6,3,3,7,9,11,4,3,1,0,26,27,,,2,1,15,11,,,75%,73%,16%,27%,,,14,22,11,15,77%,59%,,,18,32,8,9,,,,,2,3,,,,,,,1,0
0.29,1.95,50%,50%,5,14,2,5,0,2,4,3,83%,83%,1,2,,,2,4,1,5,4,11,1,3,0,0,10,47,,,0,6,8,6,,,68%,80%,13%,30%,,,10,8,6,8,70%,50%,,,29,21,7,6,,,,,2,1,,,,,,,0,1
0.88,1.96,53%,47%,10,12,1,4,2,4,2,3,87%,85%,1,1,,,5,4,4,4,7,7,3,5,1,1,17,19,,,1,4,8,13,,,73%,80%,18%,33%,,,14,18,13,8,58%,68%,,,10,15,9,8,,,,,2,1,,,,,,,0,1
1.74,1.09,60%,40%,20,14,4,5,1,1,12,3,85%,81%,2,3,,,7,4,9,5,12,7,8,6,0,0,47,25,,,2,0,14,9,,,76%,59%,16%,25%,,,12,13,9,14,52%,55%,,,20,28,4,15,,,,,3,2,,,,,,,,
1.58,2.00,24%,76%,9,20,6,5,2,4,4,7,63%,90%,4,4,,,1,7,2,8,8,13,1,7,0,2,15,36,,,0,2,5,9,,,42%,84%,29%,11%,,,10,21,9,5,41%,45%,,,26,14,6,5,,,,,5,4,,,,,,,,
0.32,2.92,45%,55%,7,22,0,13,1,6,2,6,85%,88%,,,,,4,7,3,2,5,17,2,5,2,0,18,43,,,4,0,10,7,,,70%,81%,22%,27%,,,10,13,7,10,76%,65%,,,23,14,10,4,,,,,8,0,,,,,,,,
1.82,1.30,47%,53%,19,7,10,3,4,1,8,7,77%,81%,2,3,,,3,3,6,1,12,7,7,0,0,0,25,16,,,2,1,19,18,,,66%,66%,13%,18%,,,15,9,18,19,74%,50%,,,32,34,10,12,,,,,2,8,,,,,,,1,0
0.64,1.42,63%,37%,13,11,2,7,0,5,5,4,80%,68%,4,1,,,9,4,2,0,9,7,4,4,0,0,28,13,,,1,2,10,13,,,74%,60%,24%,13%,,,37,12,13,10,75%,72%,,,16,41,5,10,,,,,5,2,,,,,,,,
1.01,1.86,52%,48%,11,16,6,9,1,3,1,7,79%,79%,1,3,,,3,6,2,1,8,12,3,4,0,0,21,31,,,0,0,16,7,,,68%,66%,40%,24%,,,22,29,7,16,58%,73%,,,31,24,12,7,,,,,7,4,,,,,,,2,0
2.25,0.72,48%,52%,13,11,3,3,5,1,5,5,77%,80%,1,2,,,7,4,3,4,10,4,3,7,1,0,31,20,,,3,3,10,9,,,69%,69%,29%,27%,,,21,24,9,10,72%,60%,,,19,15,5,3,,,,,1,1,,,,,,,1,0
1.33,1.40,53%,47%,11,14,4,5,3,2,4,4,93%,91%,2,1,,,5,6,2,3,10,8,1,6,2,0,26,25,,,3,2,6,11,,,84%,84%,26%,45%,,,13,19,11,6,57%,60%,,,11,16,9,4,,,,,3,4,,,,,,,0,1
1.94,0.16,68%,32%,13,3,5,0,3,0,5,1,90%,81%,1,1,,,3,0,5,3,9,0,4,3,0,0,40,5,,,1,2,12,7,,,83%,79%,28%,13%,,,16,10,7,12,55%,56%,,,14,29,6,14,,,,,0,4,,,,,,,,
1.26,0.96,58%,42%,24,8,7,3,1,1,5,3,81%,73%,0,2,,,12,2,5,3,15,7,9,1,1,0,43,17,,,0,5,12,6,,,73%,66%,21%,22%,,,14,17,6,12,76%,67%,,,14,32,9,10,,,,,3,7,,,,,,,,
1.83,0.35,68%,32%,19,4,7,1,1,0,14,1,91%,76%,3,2,,,6,2,6,1,14,2,5,2,2,0,59,4,,,2,2,5,17,,,83%,48%,23%,67%,,,15,13,17,5,50%,36%,,,10,52,7,11,,,,,0,4,,,,,,,,
0.87,0.35,51%,49%,7,11,4,4,1,0,4,4,83%,80%,2,4,,,1,3,2,4,3,5,4,6,0,0,14,19,,,3,1,12,12,,,73%,73%,13%,35%,,,18,19,12,12,73%,72%,,,21,22,14,12,,,,,4,2,,,,,0,1,,
1.19,0.53,52%,48%,18,10,4,4,0,0,5,2,81%,78%,2,2,,,10,2,4,4,15,6,3,4,0,0,34,17,,,1,1,12,13,,,73%,67%,15%,45%,,,22,19,13,12,73%,56%,,,22,24,8,9,,,,,4,4,,,,,,,,
0.82,1.32,47%,53%,12,14,8,7,3,3,3,1,83%,85%,1,3,,,1,7,3,0,7,10,5,4,1,0,20,26,,,3,1,13,13,,,64%,69%,13%,35%,,,12,10,13,13,62%,67%,,,16,20,4,10,,,,,5,7,,,,,,,0,1
2.62,0.34,63%,37%,22,4,8,1,3,0,9,6,91%,78%,2,1,,,7,2,7,1,16,2,6,2,1,0,49,9,,,5,3,10,15,,,84%,65%,22%,5%,,,7,11,15,10,82%,40%,,,19,18,7,5,,,,,1,5,,,,,0,1,,
1.21,1.28,29%,71%,10,13,3,4,1,1,2,7,72%,88%,3,4,,,5,4,2,5,7,7,3,6,0,0,17,31,,,4,1,13,12,,,66%,80%,29%,11%,,,12,18,12,13,59%,30%,,,29,4,9,5,,,,,4,2,,,,,0,1,,
1.13,1.45,55%,45%,18,16,5,2,4,2,2,2,84%,79%,1,2,,,9,8,4,6,16,11,2,5,0,1,31,24,,,0,0,8,15,,,75%,62%,39%,30%,,,17,13,15,8,40%,84%,,,13,23,11,5,,,,,1,5,,,,,,,,
2.02,0.62,66%,34%,24,8,5,3,4,1,8,5,90%,81%,1,4,,,9,3,10,2,16,5,8,3,1,0,49,15,,,2,2,10,5,,,83%,56%,48%,40%,,,15,11,5,10,53%,75%,,,11,35,2,6,,,,,2,4,,,,,,,,
1.25,4.60,52%,48%,9,24,5,12,2,9,7,5,85%,86%,1,2,,,3,8,1,4,6,18,3,6,0,1,26,50,,,4,4,9,7,,,68%,74%,19%,53%,,,18,10,7,9,63%,62%,,,21,21,8,16,,,,,6,2,,,,,,,0,2
0.39,0.77,25%,75%,5,12,4,5,2,3,2,5,73%,90%,4,1,,,0,3,1,4,2,6,3,6,0,1,7,24,,,2,1,12,20,,,55%,77%,11%,18%,,,7,20,20,12,48%,65%,,,21,13,10,2,,,,,5,4,,,,,,,,
1.04,0.26,57%,43%,16,5,5,1,2,0,6,5,87%,80%,1,3,,,6,1,5,3,9,3,7,2,0,0,35,14,,,1,2,15,8,,,79%,51%,26%,31%,,,26,14,8,15,60%,60%,,,12,35,8,14,,,,,1,5,,,,,,,,
0.81,1.06,53%,47%,9,8,5,4,1,2,6,1,87%,82%,2,0,,,2,3,2,1,7,6,2,2,0,1,17,11,,,1,1,16,15,,,68%,62%,17%,38%,,,20,8,15,16,44%,60%,,,8,21,9,7,,,,,1,5,,,,,,,,
2.26,1.24,60%,40%,23,10,7,5,4,2,13,1,81%,76%,1,3,,,10,3,6,2,13,6,10,4,0,0,45,15,,,0,2,11,11,,,77%,63%,38%,22%,,,19,17,11,11,65%,67%,,,10,31,4,11,,,,,2,7,,,,,,,0,1
1.72,2.88,41%,59%,15,14,6,6,3,5,3,3,81%,87%,2,2,,,6,3,3,5,10,13,5,1,0,2,18,33,,,1,0,8,9,,,67%,68%,43%,53%,,,14,21,9,8,42%,69%,,,25,15,3,10,,,,,1,5,,,,,,,,
0.80,0.84,64%,36%,7,10,3,6,1,1,9,5,85%,78%,3,4,,,2,3,2,1,7,7,0,3,0,0,35,17,,,1,3,14,9,,,71%,78%,13%,7%,,,14,16,9,14,71%,50%,,,18,49,13,17,,,,,4,3,,,,,,,,
0.70,2.31,41%,59%,10,15,2,7,1,5,2,1,82%,87%,2,0,,,4,7,4,1,8,13,2,2,0,1,20,35,,,3,0,7,9,,,67%,65%,25%,50%,,,10,19,9,7,60%,64%,,,14,15,3,6,,,,,3,2,,,,,,,,
1.60,0.91,46%,54%,11,12,4,6,2,4,8,4,75%,85%,2,2,,,3,2,4,4,8,10,3,2,0,1,27,53,,,5,1,20,14,,,45%,76%,21%,18%,,,21,13,14,20,58%,53%,,,30,25,6,7,,,,,5,3,,,,,,,1,0
1.41,1.03,45%,55%,11,12,6,6,4,2,5,4,86%,92%,3,3,,,3,5,2,1,10,7,1,5,2,0,17,22,,,3,0,7,14,,,62%,85%,33%,14%,,,13,10,14,7,59%,67%,,,17,15,3,5,,,,,5,4,,,,,,,,
1.90,2.18,51%,49%,29,16,9,3,2,1,12,6,77%,73%,0,2,,,6,6,14,7,16,13,13,3,1,1,40,21,,,1,1,11,6,,,68%,53%,27%,35%,,,20,12,6,11,57%,45%,,,25,30,10,8,,,,,2,8,,,,,,,,
2.13,1.61,62%,38%,26,9,8,4,3,4,8,5,85%,76%,2,2,,,10,3,8,2,20,7,6,2,0,1,51,17,,,2,3,7,11,,,85%,57%,29%,21%,,,20,11,11,7,53%,71%,,,19,37,8,6,,,,,3,6,,,,,1,0,1,0
0.68,2.62,41%,59%,9,18,3,9,3,6,2,5,87%,91%,1,3,,,4,5,2,4,5,15,4,3,0,1,15,28,,,2,0,15,8,,,64%,79%,38%,15%,,,13,11,8,15,67%,57%,,,15,9,11,15,,,,,4,3,,,,,,,,
0.91,1.99,51%,49%,10,10,3,3,0,3,8,2,87%,89%,1,1,,,4,4,3,3,5,7,5,3,0,0,18,22,,,0,6,14,5,,,79%,84%,10%,40%,,,19,11,5,14,71%,46%,,,10,18,10,17,,,,,1,2,,,,,,,1,0
0.81,2.40,64%,36%,17,13,5,5,2,5,8,5,88%,74%,1,4,,,4,5,8,3,9,11,8,2,0,0,33,22,,,1,1,15,11,,,76%,60%,26%,33%,,,13,17,11,15,77%,64%,,,11,29,8,8,,,,,2,4,,,,,,,0,1
1.65,0.44,50%,50%,17,8,6,2,3,0,4,3,91%,88%,0,1,,,6,4,5,2,12,7,5,1,0,0,27,31,,,2,2,5,12,,,90%,72%,24%,31%,,,5,11,12,5,74%,45%,,,24,21,8,6,,,,,1,4,,,,,,,1,1
1.42,0.17,76%,24%,13,2,5,0,1,0,8,2,92%,72%,0,3,,,3,0,5,2,11,1,2,1,0,0,48,8,,,5,3,9,6,,,85%,47%,25%,13%,,,23,17,6,9,56%,66%,,,7,39,1,9,,,,,0,5,,,,,,,,
2.26,1.08,60%,40%,16,12,4,3,3,1,5,4,88%,82%,3,4,,,7,5,5,4,16,7,0,5,0,0,34,17,,,2,2,7,10,,,79%,63%,19%,29%,,,18,11,10,7,60%,53%,,,5,29,8,8,,,,,1,2,,,,,1,0,1,0
3.78,0.23,59%,41%,27,4,11,1,5,0,5,2,87%,77%,3,3,,,9,0,7,3,20,2,7,2,0,0,53,9,,,1,2,16,7,,,80%,63%,33%,10%,,,18,20,7,16,71%,35%,,,13,26,6,9,,,,,1,7,,,,,,,2,0
1.02,1.26,54%,46%,16,10,6,5,1,2,7,3,83%,82%,2,3,,,5,2,5,3,11,7,5,3,0,0,26,31,,,2,4,9,13,,,67%,63%,25%,19%,,,20,11,13,9,67%,33%,,,18,31,6,11,,,,,3,5,,,,,1,0,0,1
1.01,1.63,54%,46%,19,19,4,5,1,2,11,0,80%,77%,5,4,,,6,7,9,7,15,12,4,7,0,0,39,24,,,4,1,17,12,,,71%,60%,41%,38%,,,16,16,12,17,54%,45%,,,19,21,7,5,,,,,4,2,,,,,,,1,0
2.64,2.81,38%,62%,13,17,5,8,6,2,5,10,83%,86%,2,3,,,5,4,3,5,11,12,2,5,1,0,26,46,,,3,2,11,17,,,69%,78%,36%,25%,,,16,18,17,11,74%,72%,,,20,7,4,12,,,,,4,2,,,,,,,,
0.14,1.93,33%,67%,2,12,2,4,0,4,0,6,72%,89%,4,2,,,0,8,0,0,2,10,0,2,0,0,3,34,,,0,3,9,10,,,58%,77%,0%,25%,,,9,23,10,9,59%,71%,,,24,10,10,6,,,,,3,1,,,,,,,,
1.33,2.99,43%,57%,18,22,5,6,1,6,6,13,73%,80%,2,1,,,6,9,7,7,11,14,7,8,0,1,29,39,,,0,0,13,9,,,61%,75%,33%,13%,,,23,18,9,13,73%,70%,,,30,25,4,11,,,,,4,4,,,,,,,0,1
1.27,1.52,54%,46%,10,16,3,7,3,0,4,5,84%,86%,1,2,,,2,6,5,3,7,8,3,8,0,0,16,23,,,1,0,10,9,,,68%,67%,25%,44%,,,25,10,9,10,43%,71%,,,9,22,5,7,,,,,5,1,,,,,,,,
1.55,0.69,71%,29%,17,11,7,3,3,0,5,3,88%,65%,0,2,,,5,4,5,4,10,7,7,4,1,1,31,15,,,0,1,13,10,,,80%,62%,13%,57%,,,17,11,10,13,77%,56%,,,5,30,9,8,,,,,0,5,,,,,,,0,2
2.35,0.44,47%,53%,18,4,5,0,3,0,14,1,86%,90%,1,3,,,5,0,8,4,13,4,5,0,0,0,41,22,,,0,4,15,18,,,75%,82%,24%,15%,,,10,14,18,15,62%,36%,,,9,17,6,8,,,,,0,4,,,,,,,,
1.07,1.20,44%,56%,11,16,8,3,3,3,3,4,80%,86%,3,0,,,2,11,1,2,8,10,3,6,0,1,25,40,,,3,2,7,10,,,67%,82%,7%,17%,,,12,24,10,7,63%,42%,,,29,25,3,3,,,,,1,4,,,,,,,0,1
1.30,1.41,31%,69%,12,12,3,4,1,3,6,8,77%,88%,1,2,,,1,4,8,4,6,9,6,3,0,1,15,32,,,3,2,10,4,,,59%,81%,23%,29%,,,13,17,4,10,53%,38%,,,24,16,5,5,,,,,2,1,,,,,0,1,1,1
3.31,0.58,34%,66%,21,12,8,4,5,0,5,9,70%,82%,2,2,,,8,5,5,3,17,7,4,5,1,0,28,25,,,3,3,8,15,,,67%,74%,38%,14%,,,22,31,15,8,44%,65%,,,28,15,17,8,,,,,4,7,,,,,,,1,0
0.66,1.34,44%,56%,6,13,2,3,1,1,5,6,81%,88%,2,2,,,3,5,1,5,6,8,0,5,0,0,19,20,,,0,1,8,7,,,70%,73%,19%,19%,,,18,24,7,8,44%,45%,,,31,22,8,12,,,,,2,0,,,,,,,,
2.33,0.31,50%,50%,14,5,6,2,5,0,13,0,87%,86%,1,3,,,3,3,5,0,13,3,1,2,0,0,35,6,,,2,2,8,12,,,72%,74%,32%,17%,,,16,11,12,8,67%,53%,,,7,24,4,12,,,,,2,4,,,,,,,1,0
2.25,0.96,49%,51%,20,9,10,1,4,1,10,5,86%,86%,2,2,,,6,4,4,4,16,7,4,2,0,0,41,21,,,0,1,15,11,,,80%,75%,25%,14%,,,13,15,11,15,87%,53%,,,22,20,7,8,,,,,0,7,,,,,,,,
1.02,0.79,45%,55%,15,6,6,2,2,2,3,4,80%,79%,2,0,,,5,2,4,2,8,2,5,4,0,0,16,15,,,4,0,8,10,,,68%,60%,10%,0%,,,21,30,10,8,50%,67%,,,28,12,14,7,,,,,2,2,,,,,,,1,0
2.41,0.88,66%,34%,17,12,7,3,6,1,8,2,89%,79%,2,4,,,7,7,3,2,12,8,5,4,0,0,42,15,,,1,2,15,7,,,82%,73%,40%,23%,,,16,14,7,15,73%,63%,,,15,15,4,11,,,,,3,4,,,,,,,,
1.72,1.44,41%,59%,17,16,6,5,2,4,5,6,80%,87%,2,5,,,7,5,4,6,9,14,8,2,1,2,21,35,,,4,0,17,9,,,67%,82%,13%,20%,,,20,15,9,17,71%,58%,,,16,22,6,8,,,,,2,3,,,,,,,,
1.47,5.29,45%,55%,6,26,4,13,4,10,5,7,89%,92%,1,0,,,0,7,2,6,6,22,0,4,0,3,20,48,,,3,1,14,7,,,81%,87%,13%,25%,,,12,8,7,14,91%,67%,,,25,9,4,9,,,,,8,3,,,,,1,0,0,1
1.35,3.09,39%,61%,8,31,6,10,7,3,3,9,75%,86%,2,2,,,2,10,0,11,8,24,0,7,0,1,20,55,,,1,2,7,9,,,58%,80%,18%,37%,,,13,27,9,7,61%,57%,,,30,10,10,5,,,,,9,3,,,,,,,0,1
0.49,1.53,54%,46%,9,13,2,3,1,3,4,7,83%,80%,2,4,,,4,4,3,6,5,9,4,4,1,0,12,23,,,1,1,13,14,,,71%,60%,24%,17%,,,13,13,14,13,61%,60%,,,26,22,9,4,,,,,2,2,,,,,,,,
3.57,0.84,44%,56%,18,8,7,2,5,1,7,4,84%,88%,1,3,,,7,3,4,3,11,7,7,1,2,0,30,30,,,4,3,8,9,,,73%,78%,29%,0%,,,21,13,9,8,59%,82%,,,13,21,6,5,,,,,2,5,,,,,,,,
1.61,1.15,64%,36%,17,10,8,4,2,1,3,4,90%,84%,2,2,,,6,3,3,3,12,8,5,2,0,0,26,19,,,3,1,6,21,,,77%,57%,17%,43%,,,9,8,21,6,59%,47%,,,5,12,3,9,,,,,4,5,,,,,,,,
0.73,0.65,60%,40%,11,8,5,2,3,1,2,2,90%,87%,2,3,,,2,3,4,3,9,4,2,4,0,0,21,13,,,3,2,12,12,,,80%,62%,17%,15%,,,10,11,12,12,69%,53%,,,13,8,8,5,,,,,2,1,,,,,,,,
0.65,1.16,50%,50%,8,14,3,6,2,3,7,11,86%,85%,0,1,,,3,4,2,4,4,12,4,2,1,1,16,36,,,1,1,14,4,,,75%,76%,13%,29%,,,19,15,4,14,56%,63%,,,23,23,9,12,,,,,5,2,,,,,0,1,,
1.46,3.00,39%,61%,12,16,5,7,2,5,2,10,78%,83%,4,1,,,3,5,4,4,8,13,4,3,1,0,17,32,,,1,1,13,10,,,68%,75%,11%,32%,,,11,23,10,13,73%,35%,,,19,13,8,5,,,,,2,3,,,,,,,0,1
