league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
ENG-Premier League,2526,Arsenal,23,26.3,57.9,10,110,900,10,18,12,30,16,2,2,10,0,16.9,15.3,10.3,25.7,202,436,1.8,1.2,3.0,1.6,2.8,1.69,1.03,2.73,1.53,2.57,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,23,28.4,54.0,10,110,900,10,9,8,17,9,0,0,17,1,7.5,7.5,5.7,13.2,153,372,0.9,0.8,1.7,0.9,1.7,0.75,0.57,1.32,0.75,1.32,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,24,25.6,50.7,10,110,900,10,17,11,28,16,1,1,25,0,11.6,10.8,7.8,18.6,171,369,1.7,1.1,2.8,1.6,2.7,1.16,0.78,1.94,1.08,1.86,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2526,Brentford,21,25.4,42.8,10,110,900,10,14,8,22,12,2,3,21,0,13.9,11.6,9.1,20.8,131,248,1.4,0.8,2.2,1.2,2.0,1.39,0.91,2.31,1.16,2.08,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2526,Brighton,24,26.1,48.0,10,110,900,10,17,11,28,15,2,3,24,0,16.2,14.0,10.9,24.8,187,343,1.7,1.1,2.8,1.5,2.6,1.62,1.09,2.71,1.4,2.48,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,22,27.7,37.0,10,110,900,10,12,11,23,12,0,0,16,1,7.1,7.1,5.9,13.0,85,223,1.2,1.1,2.3,1.2,2.3,0.71,0.59,1.3,0.71,1.3,/en/squads/943e8050/Burnley-Stats
ENG-Premier League,2526,Chelsea,25,24.4,58.9,10,110,900,10,18,13,31,17,1,1,22,3,17.1,16.3,13.4,29.7,201,417,1.8,1.3,3.1,1.7,3.0,1.71,1.34,3.05,1.63,2.97,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,22,26.9,41.9,10,110,900,10,13,6,19,11,2,2,18,0,18.2,16.7,11.5,28.3,118,306,1.3,0.6,1.9,1.1,1.7,1.82,1.15,2.98,1.67,2.83,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,19,28.6,44.6,10,110,900,10,10,7,17,9,1,1,24,0,13.4,12.6,10.0,22.5,156,329,1.0,0.7,1.7,0.9,1.6,1.34,1.0,2.33,1.26,2.25,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2526,Fulham,22,28.2,50.4,10,110,900,10,9,6,15,9,0,0,19,0,10.3,10.3,7.7,18.0,197,355,0.9,0.6,1.5,0.9,1.5,1.03,0.77,1.8,1.03,1.8,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2526,Leeds United,22,27.1,47.6,10,110,900,10,9,3,12,8,1,1,15,0,12.0,11.3,8.3,19.6,153,306,0.9,0.3,1.2,0.8,1.1,1.2,0.83,2.03,1.13,1.96,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,22,27.0,61.4,10,110,900,10,18,12,30,17,1,1,19,0,16.9,16.2,13.3,29.5,252,508,1.8,1.2,3.0,1.7,2.9,1.69,1.33,3.02,1.62,2.95,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2526,Manchester City,23,25.6,57.2,10,110,900,10,18,16,34,18,0,0,16,0,17.8,17.8,15.7,33.5,268,401,1.8,1.6,3.4,1.8,3.4,1.78,1.57,3.35,1.78,3.35,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,20,26.4,50.9,10,110,900,10,15,11,26,14,1,3,13,1,17.5,15.1,11.4,26.5,180,387,1.5,1.1,2.6,1.4,2.5,1.75,1.14,2.89,1.51,2.65,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2526,Newcastle Utd,22,28.1,51.3,10,110,900,10,10,6,16,9,1,1,11,1,12.4,11.6,9.6,21.2,171,467,1.0,0.6,1.6,0.9,1.5,1.24,0.96,2.2,1.16,2.12,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2526,Nott'ham Forest,25,26.6,53.2,10,110,900,10,7,4,11,7,0,0,18,0,11.0,11.0,8.5,19.5,184,446,0.7,0.4,1.1,0.7,1.1,1.1,0.85,1.95,1.1,1.95,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,23,25.6,44.1,10,110,900,10,11,8,19,10,1,1,17,1,9.8,9.0,6.5,15.5,127,310,1.1,0.8,1.9,1.0,1.8,0.98,0.65,1.63,0.9,1.55,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2526,Tottenham,20,25.8,53.7,10,110,900,10,16,14,30,16,0,0,21,0,10.1,10.1,7.7,17.8,176,355,1.6,1.4,3.0,1.6,3.0,1.01,0.77,1.78,1.01,1.78,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,25,27.2,46.3,10,110,900,10,9,6,15,8,1,1,15,1,9.3,8.6,6.7,15.3,117,318,0.9,0.6,1.5,0.8,1.4,0.93,0.67,1.6,0.86,1.53,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,23,26.9,48.2,10,110,900,10,6,4,10,5,1,1,18,2,9.4,8.7,5.8,14.4,147,315,0.6,0.4,1.0,0.5,0.9,0.94,0.58,1.52,0.87,1.44,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
